uproc,diamond
81392,77048
104790,82962
85110,78466
58286,44381
59040,59692
98077,74819
72452,73413
92563,74776
62606,73246
78210,65706
111081,83230
86754,73568
98297,97039
95565,79942
99242,100936
60277,61501
73637,53936
83561,62197
96635,128534
119431,89768
54132,47311
97902,101451
102160,69924
70685,71508
67035,51523
55856,36346
24970,6774
57941,53327
110723,96553
116547,162176
117852,125207
52556,58004
55101,40059
135783,125704
52518,42660
48922,46205
40898,41518
82498,68072
117722,61169
76547,62919
62417,34393
113981,93914
127842,120947
67448,69910
75622,53755
99731,81610
40894,19294
52584,41014
85023,82322
50211,43254
54271,48889
81614,73267
39962,38944
55101,41926
56453,68314
69051,76231
115600,97307
88324,72634
130765,258852
128087,152152
40978,5751
184497,180599
21914,12788
81558,76344
33500,7841
83604,64999
49509,40538
70007,40713
106506,82188
56480,48187
86397,35033
100211,82287
76168,43557
67431,58313
66246,55727
68689,52854
39391,25784
59485,59825
50245,54148
81898,88878
77147,65327
51612,34464
59990,48907
71771,64155
94704,70515
75760,64412
75926,55832
42287,41080
80537,60690
92507,74896
90240,82695
98521,123072
122135,112623
78370,73571
70429,82518
39990,14366
56944,50090
72076,60087
100129,110265
97746,84462
59419,33267
90828,71553
70805,61975
29183,157
20054,7124
116695,94546
48779,35964
77822,72565
41039,36854
85512,69943
58420,68076
59278,46270
74263,59738
37453,49463
95767,82186
54967,31923
53102,67435
99706,109250
69550,56284
57442,53878
42875,38202
46818,37058
67091,55839
68545,68272
54626,39366
75990,44055
99012,100828
86414,58156
55600,51454
51221,51008
94058,76344
67015,58022
72436,70563
88760,92129
87276,108469
104381,78391
95474,102038
100161,81786
61077,47832
62318,48521
90011,74506
52479,52553
64328,57314
89277,90420
96086,98242
89937,72905
82604,75570
59890,51412
82118,76664
57618,66682
93046,73427
59351,41169
42088,20963
46844,41707
84683,72934
67637,270626
72644,52792
63509,40492
71804,57083
95648,71245
76185,56242
64884,53467
105162,96053
35774,26494
73141,66026
88790,83534
50067,45048
80208,74166
66803,67151
21183,7933
40196,31785
48020,37984
27213,26298
62226,47139
129126,188256
22470,21447
87007,75079
86099,78536
69894,99780
45611,48598
71265,52865
34552,25815
71505,56391
43407,29271
72160,73576
49718,27187
82964,194767
60337,55187
57488,35066
53930,42848
43101,36506
76305,57464
54650,45637
61420,49122
52536,57000
94328,124990
51877,49017
59968,50686
61746,46186
105555,91929
81349,54013
90176,92798
114093,124623
102937,102251
46920,37688
124849,79749
77641,66009
75091,52809
32039,18132
73360,68763
50123,92115
49942,42963
42819,37124
58297,45093
62121,60295
65134,75372
99361,90893
61402,71636
33488,30744
27647,26814
53532,55695
31025,29204
52380,39036
59120,50864
40596,20068
105137,90445
41320,52800
31901,27087
52626,44172
65152,89526
97156,84239
33397,28828
92309,68761
31963,28439
79553,63485
34151,28856
66713,50457
41465,39967
62671,34807
53173,51692
70719,64157
33141,7462
83912,76039
35374,28911
44306,103953
51691,58193
65139,66305
