pfam	count
PF02649	126465
PF01032	79872
PF09397	79591
PF04116	75759
PF04565	78634
PF02502	61013
PF13659	59868
PF02080	127830
PF13465	25053
PF03853	75883
PF02086	101012
PF14720	59598
PF00263	83032
PF14342	97039
PF14697	70865
PF13528	100937
PF05977	49463
PF01877	62216
PF01812	140986
PF02911	88899
PF01142	85913
PF00430	101451
PF04209	66838
PF12161	71875
PF12849	60840
PF01813	52800
PF04093	97349
PF06434	117780
PF13407	59694
PF05099	124991
PF03150	49623
PF00343	112322
PF01202	116796
PF14849	123712
PF02391	95198
PF13460	118061
PF12679	34525
PF02416	97737
PF03883	155150
PF01882	56783
PF13347	121576
PF00941	93992
PF01329	82036
PF01029	138900
PF02353	85357
PF00453	83414
PF02639	94342
PF01520	85384
PF04305	109250
PF01252	107467
PF08811	38818
PF01188	47287
PF13090	62611
PF01896	59669
PF02607	72169
PF13941	41518
PF05876	31020
PF00125	25139
PF01619	77607
PF12762	41531
PF04458	11617
PF02602	103931
PF06189	125704
PF03976	69897
PF00565	85958
PF05237	81353
PF01106	84485
PF00311	110269
PF14698	68272
PF08335	111900
PF00854	54764
PF00833	38944
PF01314	54148
PF13382	48714
PF12048	141738
PF13485	68076
PF04453	129312
PF02410	82518
PF01269	58164
PF02527	110771
PF08501	78473
PF03960	124331
PF04079	72484
PF08544	72077
PF13231	59825
PF05598	70535
PF05992	75372
PF08267	50664
PF03719	67972
PF01174	53597
PF00684	71834
PF12730	69910
PF00089	45518
PF03357	55782
PF01863	108470
PF00067	80049
PF00861	72237
PF02742	47311
PF02585	46661
PF01624	48930
PF12637	53327
PF01841	47562
PF09603	26297
PF03463	57000
PF03747	78466
PF11799	86420
PF08271	48598
PF03695	108968
PF04107	66682
PF13375	79602
PF03069	46215
PF12327	50710
PF13450	57911
PF01989	50044
PF01210	103295
PF02900	96560
PF06325	88931
PF13746	67193
PF01547	102043
PF04362	72565
PF08704	48890
PF04371	61501
PF13433	70564
PF03070	90423
PF06835	127908
PF00312	72138
PF13277	51146
PF07497	73568
PF00656	46617
PF11838	71636
PF00410	89525
PF02665	81610
PF11940	125207
PF02674	87105
PF02826	72592
PF01992	60316
PF13840	70772
PF00189	76986
PF09239	43254
PF05491	65707
PF02690	48005
PF12846	60778
PF00669	73387
PF08007	118053
PF01871	53091
PF01192	57710
PF03309	70313
PF02885	93553
PF11071	82695
PF00766	55123
PF02517	72192
PF00520	68999
PF00745	65382
PF01810	136108
PF01575	70197
PF01722	112623
PF13184	62919
PF13660	52553
PF01903	55134
PF01862	51454
PF13535	54241
PF01176	68072
PF01758	72842
PF14622	89767
PF03471	104094
PF01936	51008
PF12169	100828
PF04279	124623
PF01610	92130
PF02586	77051
PF13368	100679
PF00462	97308
PF04546	105695
PF04203	92400
PF01396	42661
PF13439	76344
PF07631	21447
PF03465	50643
PF05698	70984
PF01902	73576
PF02608	73267
PF00466	78775
PF09424	66007
PF04517	20132
PF02861	63714
PF13241	73571
PF04199	53890
PF00829	67132
PF02938	67439
PF03349	77941
PF01938	79942
PF03900	55727
PF03773	68763
PF03169	37497
PF00813	47128
PF02777	50090
PF06849	57314
PF13435	43999
PF02643	48187
PF13534	64155
PF00347	85795
PF03063	39967
PF03968	110317
PF01948	40538
PF13640	98242
PF04894	60295
PF03352	58313
PF04379	59738
PF01423	41014
PF05425	61803
PF00081	41707
PF02073	26300
PF07521	48907
PF00707	65327
PF03881	110713
PF00585	74819
PF04205	82287
PF03692	75025
PF01687	95454
PF05343	36854
PF10531	78860
PF01869	37688
PF03379	78391
PF01381	68069
PF01272	72634
PF04828	66027
PF10369	53656
PF09996	51692
PF09285	62201
PF01198	29204
PF12840	60088
PF12698	82322
PF02954	73742
PF01734	120947
PF04011	38202
PF03009	75680
PF02915	74184
PF13646	47423
PF04019	36293
PF03439	30744
PF02403	64413
PF01844	44577
PF10672	61981
PF02661	44879
PF06144	96081
PF01973	46552
PF01820	74776
PF00043	102262
PF05494	122773
PF03449	59622
PF04231	55676
PF01197	72934
PF12344	45672
PF08411	143594
PF02119	41926
PF04307	63171
PF01817	65372
PF01850	41084
PF00756	92800
PF04333	82186
PF08275	83231
PF09940	47232
PF06429	54241
PF13492	73177
PF02359	31684
PF00547	43498
PF01783	52854
PF05345	31251
PF01090	34989
PF00298	64999
PF12801	56286
PF06155	57216
PF08529	72905
PF03948	55695
PF04919	41477
PF04186	94546
PF02873	84462
PF13669	49018
PF01253	42963
PF05088	96056
PF01161	35964
PF03737	45048
PF01832	106519
PF02823	74507
PF01248	38293
PF03461	78540
PF05916	36449
PF13249	21944
PF03485	69943
PF12139	59613
PF02274	76039
PF00867	37124
PF02412	25597
PF00595	58194
PF01981	28439
PF02577	55839
PF13579	57464
PF01503	74166
PF01206	85945
PF02578	60939
PF07228	34324
PF13616	93922
PF01774	50801
PF05684	38125
PF03602	82188
PF01944	36377
PF02036	90501
PF13531	54728
PF00181	56242
PF02381	70370
PF00699	33581
PF00324	90933
PF01121	79929
PF02589	37058
PF00092	41747
PF02537	56610
PF00668	28540
PF01807	70515
PF00782	50686
PF03841	36354
PF00930	86190
PF08328	75079
PF03833	30506
PF03320	50866
PF00403	82962
PF02576	80401
PF04734	15829
PF01385	36512
PF13932	60690
PF13484	34099
PF01196	71553
PF02836	65242
PF06093	21680
PF02747	41100
PF13340	27090
PF02421	40059
PF07837	28856
PF05697	77771
PF11791	82820
PF00743	65162
PF01658	37680
PF01092	31401
PF06545	26494
PF08207	55832
PF06080	74896
PF09559	84138
PF06574	89771
PF13602	67066
PF02127	28911
PF08309	8611
PF01839	16064
PF11611	40559
PF04552	48521
PF13844	53472
PF04143	51414
PF05544	42744
PF00237	73427
PF11495	32356
PF01809	66010
PF10588	44172
PF05685	16785
PF13103	63081
PF00333	43557
PF00582	76665
PF02887	64157
PF11760	32006
PF14312	28691
PF00932	31785
PF13855	31649
PF02224	47741
PF01668	56392
PF02152	90445
PF14588	28828
PF14579	57102
PF03484	55187
PF03051	42520
PF11306	111856
PF08299	58022
PF13091	51534
PF00076	53755
PF08489	35146
PF08548	22013
PF00126	136089
PF00772	76344
PF13410	88855
PF10589	50180
PF01157	29960
PF09377	38004
PF05935	24827
PF14681	45637
PF13483	25815
PF06750	39367
PF00685	66305
PF13742	77093
PF02130	75570
PF07885	37985
PF01613	53938
PF04361	86190
PF04886	16339
PF03601	32778
PF01648	81786
PF06733	65401
PF03819	39597
PF14714	71662
PF02357	78659
PF01132	49122
PF13412	52865
PF12631	52793
PF00705	38662
PF06228	31927
PF10282	25784
PF04472	29179
PF01163	42292
PF12228	41065
PF09347	55343
PF00394	69924
PF13411	58156
PF02028	134180
PF01120	39727
PF03561	52081
PF13167	57083
PF13950	34464
PF04345	75843
PF13302	83543
PF09955	73517
PF00213	79541
PF03663	45351
PF05299	60838
PF13546	29515
PF01476	73097
PF05707	4387
PF04744	31130
PF00413	48384
PF13173	45093
PF01912	46463
PF01941	8779
PF03880	71248
PF12900	36604
PF00393	32608
PF05198	46270
PF00627	39039
PF13948	9320
PF04976	31528
PF00871	42848
PF04234	38079
PF09820	85875
PF04126	42972
PF01991	29440
PF00203	66810
PF12447	62515
PF13447	22302
PF02514	43906
PF01325	29271
PF03649	35546
PF05165	52393
PF03710	48196
PF04324	59168
PF08542	31400
PF01068	82022
PF12867	43437
PF03658	58000
PF13023	47898
PF08438	38849
PF13491	71492
PF01386	61497
PF00150	24576
PF01258	40699
PF13570	11733
PF02616	46186
PF02590	63485
PF01263	47832
PF03547	78327
PF01548	84239
PF08494	60185
PF02634	53114
PF03239	86375
PF13463	35325
PF14464	42714
PF04519	38916
PF04952	118034
PF13899	74223
PF02322	52561
PF01487	37635
PF13502	98290
PF14489	52836
PF01471	41171
PF03175	6237
PF01015	34488
PF04442	87689
PF02617	59904
PF01584	77694
PF08029	26393
PF09376	37964
PF00529	91933
PF10397	26548
PF00533	47139
PF03448	69455
PF01250	60347
PF04461	28947
PF11867	42012
PF00673	64898
PF12769	31923
PF00265	43338
PF00083	89045
PF03458	64094
PF06762	18231
PF11617	16378
PF05834	24795
PF08439	20753
PF13720	50457
PF03118	52209
PF02768	71551
PF04007	41495
PF01113	50875
PF01119	31345
PF13508	46554
PF10120	34380
PF13768	62303
PF03330	30643
PF13710	40713
PF12367	29982
PF08617	46658
PF00821	30173
PF14574	39161
PF10070	18853
PF03946	51579
PF01172	31077
PF04896	29267
PF01478	31518
PF05970	25285
PF07635	12788
PF07592	26571
PF02082	52809
PF08713	61064
PF06778	34786
PF08755	43230
PF04760	38910
PF05402	28666
PF00137	44057
PF01649	57464
PF14840	64278
PF05724	92246
PF01814	55050
PF04984	30726
PF04404	19294
PF00708	35066
PF04367	59363
PF03464	35541
PF08487	59919
PF02749	54849
PF07364	15483
PF02371	64261
PF01156	40492
PF05195	71504
PF08406	52755
PF04895	31744
PF09079	38585
PF07755	28950
PF02700	28769
PF01956	34742
PF00886	51975
PF08676	22855
PF03232	39497
PF02996	27267
PF00722	34344
PF09341	36424
PF04455	27094
PF07068	30748
PF00830	55715
PF01632	41926
PF02627	41533
PF03404	23224
PF02148	19416
PF11874	44857
PF03364	69838
PF03831	41454
PF14522	28143
PF04464	36837
PF02817	34393
PF13086	18132
PF05572	17630
PF00037	28322
PF09903	25417
PF02541	54598
PF00672	94091
PF02951	66873
PF01566	59829
PF01984	27133
PF01455	32472
PF12236	28980
PF08888	67310
PF01281	34387
PF01757	59515
PF13469	30769
PF03576	32785
PF09997	44406
PF02620	56339
PF04293	36014
PF10502	45840
PF13335	39230
PF07603	68927
PF06378	35467
PF11104	43460
PF06250	32745
PF13242	35308
PF10417	36630
PF01661	19332
PF12770	26774
PF03795	56931
PF13540	19263
PF04014	25462
PF01906	27377
PF13743	57789
PF03741	42300
PF00700	42419
PF00825	55709
PF05512	50273
PF13474	68600
PF05187	36380
PF06271	59607
PF07287	35838
PF01920	25329
PF13635	40992
PF00935	20665
PF03171	35245
PF02021	55086
PF13709	28245
PF03979	48146
PF00366	45535
PF13432	29593
PF14805	46876
PF01780	24843
PF08281	51777
PF01997	30671
PF01084	41429
PF03136	19003
PF07503	25310
PF03147	51317
PF05567	51274
PF09190	43471
PF06831	53127
PF00639	40829
PF01867	23623
PF00542	39936
PF00877	30723
PF02933	22632
PF01835	19594
PF13604	48228
PF02113	24293
