uproc,tara
270,183
269,11
269,55
269,75
269,125
268,126
268,102
267,68
267,34
267,116
267,144
267,15
267,121
267,5
267,40
266,54
266,66
265,99
265,370
264,62
264,15
264,186
264,115
264,9
263,25
263,29
263,44
263,35
263,69
262,41
262,72
262,581
261,27
260,59
259,1803
259,61
259,45
258,46
258,46
257,25
255,51
255,2
255,85
255,27
254,31
254,191
254,82
254,33
254,66
254,53
254,22
254,21
254,24
253,27
253,29
253,150
252,68
252,66
252,52
252,23
251,45
251,30
251,28
251,28
250,38
249,21
249,31
249,62
249,35
247,25
247,46
247,41
246,84
246,139
246,34
246,69
246,35
246,18
245,18
244,3
243,50
243,78
243,19
243,104
243,82
242,57
242,102
242,43
242,8
241,76
240,35
240,24
239,10
239,1599
239,15
237,207
237,370
237,40
236,57
236,28
236,74
236,26
235,15
235,39
235,77
235,69
234,62
234,42
234,125
234,36
234,41
233,60
232,36
230,2
230,95
230,17
230,3
230,7
229,50
229,71
228,28
228,136
228,42
227,111
227,26
226,529
226,47
226,42
226,111
226,384
226,10
225,17
224,74
224,36
224,112
224,35
223,38
222,68
222,55
222,18
222,50
221,85
221,57
220,33
220,9
220,76
220,13
219,32
219,47
219,22
218,99
218,24
218,79
217,63
217,44
217,37
217,34
217,11
216,44
216,6971
216,13
215,54
215,20
214,32
214,117
214,19
214,156
213,52
213,55
212,29
212,47
212,49
212,22
211,539
211,14
210,27
209,5
209,338
208,43
208,28
208,30
207,78
206,81
206,116
206,17
205,32
205,618
205,17
205,36
205,59
203,7
203,89
203,47
203,123
202,24
201,27
201,53
201,56
201,24
200,10
200,101
200,22
199,13
199,1131
198,262
198,19
198,19
198,35
197,113
197,29
197,58
197,84
197,49
197,40
196,31
196,32
196,20
196,29
195,27
195,46
195,8
195,15
195,62
195,63
194,15
194,118
194,38
194,66
193,44
193,15
192,46
191,126
190,63
190,53
190,40
189,101
189,8
188,17
188,86
188,154
187,2735
187,31
187,968
186,968
186,5
186,72
186,98
185,145
185,62
185,9
184,26
184,17
184,55
184,68
183,16
183,21
183,31
183,28
182,18
182,38
181,10
181,16
181,35
181,24
181,51
181,10
181,30
181,107
180,73
180,78
180,13
180,81
179,13
179,22
179,83
179,42
179,32
179,28
179,36
178,24
178,165
178,59
178,43
177,122
177,57
177,41
177,17
176,11
176,6
176,2
175,145
175,119
175,18
175,76
174,117
174,61
173,41
173,59
173,99
173,33
173,50
173,4
172,31
172,30
171,31
171,103
171,10
170,24
170,10
170,121
169,122
169,136
168,42
168,55
168,64
168,11
168,37
167,27
167,19
167,59
167,44
167,15
167,58
166,15
166,57
165,56
164,100
164,95
164,1469
164,47
164,16
164,22
163,39
163,390
162,2879
162,52
162,35
162,1
161,33
161,38
161,60
161,27
161,52
160,26
160,17
159,27
159,146
159,193
159,17
159,35
159,24
159,92
158,3
158,44
157,104
157,15
157,133
156,1
156,1
155,94
155,7
